RT(milliseconds),TIC
13150,905979
13160,906321
13170,906677
13180,906917
13190,906771
13200,906610
13210,906485
13220,906441
13230,906754
13240,906886
13250,906830
13260,906430
13270,906348
13280,906469
13290,906770
13300,906750
13310,906662
13320,906276
13330,906410
13340,906738
13350,906995
13360,906994
13370,906638
13380,906581
13390,906585
13400,906526
13410,906425
13420,906353
13430,906609
13440,907013
13450,906877
13460,906651
13470,906253
13480,906247
13490,906528
13500,906729
13510,907115
13520,907186
13530,907164
13540,906931
13550,906826
13560,906756
13570,906623
13580,906641
13590,906595
13600,906696
13610,906623
13620,906677
13630,906770
13640,906840
13650,906815
13660,906493
13670,906106
13680,906083
13690,906619
13700,906870
13710,906575
13720,906475
13730,906543
13740,906670
13750,906457
13760,906696
13770,906877
13780,906819
13790,906740
13800,906646
13810,906838
13820,906694
13830,906780
13840,906454
13850,906513
13860,906656
13870,906757
13880,906511
13890,906310
13900,906496
13910,906718
13920,906969
13930,906920
13940,907070
13950,906873
13960,906824
13970,906764
13980,906817
13990,906952
14000,906914
14010,906798
14020,906753
14030,906767
14040,906988
14050,906878
14060,906960
14070,906725
14080,906540
14090,906393
14100,906343
14110,906025
14120,906079
14130,906324
14140,906682
14150,906503
14160,906524
14170,906824
14180,906776
14190,906444
14200,906565
14210,906703
14220,906951
14230,906485
14240,906341
14250,906340
14260,906572
14270,906850
14280,906721
14290,906513
14300,906236
14310,906688
14320,907235
14330,907259
14340,907084
14350,906621
14360,906866
14370,906894
14380,906812
14390,906401
14400,906326
14410,906658
14420,907007
14430,906701
14440,906775
14450,906876
14460,907239
14470,907153
14480,906992
14490,906765
14500,906624
14510,906847
14520,906950
14530,906864
14540,906836
14550,906722
14560,906605
14570,906578
14580,906729
14590,906929
14600,906668
14610,906591
14620,906783
14630,906693
14640,906623
14650,906440
14660,906454
14670,906629
14680,906723
14690,906664
14700,906655
14710,906701
14720,906828
14730,906760
14740,906858
14750,906751
14760,906399
14770,905960
14780,906366
14790,906733
14800,906619
14810,906274
14820,906067
14830,906026
14840,906218
14850,906643
14860,907115
14870,907027
14880,906945
14890,907016
14900,907006
14910,906724
14920,906611
14930,906656
14940,906785
14950,906632
14960,906655
14970,906808
14980,907126
14990,907371
15000,907329
15010,907104
15020,906864
15030,906711
15040,906731
15050,907030
15060,906981
15070,906952
15080,906528
15090,906555
15100,906471
15110,906489
15120,906491
15130,906382
15140,906583
15150,906767
15160,907003
15170,906633
15180,906715
15190,907030
15200,907283
15210,906917
15220,906761
15230,906878
15240,906880
15250,906503
15260,906559
15270,906686
15280,906802
15290,906529
15300,906472
15310,906608
15320,906378
15330,906210
15340,906105
15350,906157
15360,906333
15370,906494
15380,906653
15390,906598
15400,906313
15410,906341
15420,906236
15430,906596
15440,906838
15450,907003
15460,906864
15470,906813
15480,906812
15490,906870
15500,906980
15510,907039
15520,906744
15530,906386
15540,906425
15550,906660
15560,906979
15570,906827
15580,906620
15590,906690
15600,906966
15610,906911
15620,906737
15630,906746
15640,906961
15650,906738
15660,906609
15670,906434
15680,906677
15690,906711
15700,906756
15710,906695
15720,906556
15730,906641
15740,906703
15750,906833
15760,906864
15770,906963
15780,906953
15790,907034
15800,906693
15810,906215
15820,906224
15830,906408
15840,906834
15850,906566
15860,906538
15870,906682
15880,907087
15890,906851
15900,906459
15910,906204
15920,906436
15930,906650
15940,906707
15950,906504
15960,906414
15970,906442
15980,906743
15990,906917
16000,906711
16010,906495
16020,906449
16030,906530
16040,906818
16050,906623
16060,906397
16070,906163
16080,906389
16090,906647
16100,906666
16110,906538
16120,906559
16130,906500
16140,906391
16150,906464
16160,906950
16170,907238
16180,907198
16190,906826
16200,906602
16210,906394
16220,906706
16230,907039
16240,907323
16250,907192
16260,907010
16270,906953
16280,906772
16290,906689
16300,906455
16310,906354
16320,906722
16330,906836
16340,906692
16350,906435
16360,906640
16370,906877
16380,906697
16390,906566
16400,906590
16410,906633
16420,906523
16430,906494
16440,906579
16450,906609
16460,906728
16470,907163
16480,907076
16490,906885
16500,906565
16510,906704
16520,906860
16530,906801
16540,906712
16550,906749
16560,906874
16570,906875
16580,906797
16590,906592
16600,906520
16610,906572
16620,906842
16630,906870
16640,906708
16650,906351
16660,906544
16670,906918
16680,906918
16690,906526
16700,906183
16710,906379
16720,906936
16730,907050
16740,906789
16750,906555
16760,906561
16770,906896
16780,906898
16790,906580
16800,906310
16810,906480
16820,906742
16830,906776
16840,906691
16850,906486
16860,906444
16870,906291
16880,906476
16890,906700
16900,906752
16910,906626
16920,906547
16930,906566
16940,906805
16950,906874
16960,907074
16970,907120
16980,907189
16990,907026
17000,906761
17010,906460
17020,906228
17030,906326
17040,906716
17050,907160
17060,907399
17070,907307
17080,907130
17090,906854
17100,906894
17110,906920
17120,906986
17130,906999
17140,907160
17150,907159
17160,907099
17170,906715
17180,906621
17190,906343
17200,906305
17210,906412
17220,906326
17230,906424
17240,906444
17250,906718
17260,906595
17270,906705
17280,906890
17290,906977
17300,906866
17310,906604
17320,906484
17330,906485
17340,906857
17350,907270
17360,907055
17370,906444
17380,905973
17390,906165
17400,906272
17410,906369
17420,906348
17430,906443
17440,906598
17450,906616
17460,906832
17470,906918
17480,906902
17490,906902
17500,906873
17510,906724
17520,906568
17530,906437
17540,906469
17550,906486
17560,906542
17570,906916
17580,906961
17590,907071
17600,906844
17610,906948
17620,907243
17630,907255
17640,906946
17650,906544
17660,906605
17670,906773
17680,906727
17690,906703
17700,906861
17710,906961
17720,907076
17730,906908
17740,906825
17750,906724
17760,906633
17770,906446
17780,906340
17790,906463
17800,906736
17810,906186
17820,905966
17830,906021
17840,906545
17850,906617
17860,906580
17870,906572
17880,906730
17890,906737
17900,906866
17910,906789
17920,906782
17930,906569
17940,906425
17950,906634
17960,906691
17970,906965
17980,906685
17990,906651
18000,906611
18010,906713
18020,907037
18030,907046
18040,906831
18050,906539
18060,906388
18070,906423
18080,906280
18090,906449
18100,906709
18110,906889
18120,906691
18130,906370
18140,906590
18150,906594
18160,906588
18170,906320
18180,906355
18190,906325
18200,906451
18210,906472
18220,906736
18230,906650
18240,906833
18250,906579
18260,906440
18270,906187
18280,906436
18290,906498
18300,906468
18310,906394
18320,906489
18330,906761
18340,906813
18350,906883
18360,906970
18370,906922
18380,906707
18390,906810
18400,907014
18410,907191
18420,906857
18430,906538
18440,906302
18450,906366
18460,906556
18470,906746
18480,906689
18490,906540
18500,906363
18510,906369
18520,906583
18530,906556
18540,906386
18550,906073
18560,906489
18570,906660
18580,906688
18590,906598
18600,906403
18610,906348
18620,906338
18630,906414
18640,906358
18650,906262
18660,906375
18670,906526
18680,906489
18690,906382
18700,906362
18710,906559
18720,906766
18730,906851
18740,906738
18750,906623
18760,906813
18770,906638
18780,906678
18790,906638
18800,906508
18810,906264
18820,905912
18830,905911
18840,906109
18850,906493
18860,906801
18870,906952
18880,906881
18890,907040
18900,906864
18910,906945
18920,906749
18930,906871
18940,906875
18950,906668
18960,906801
18970,906786
18980,906820
18990,906506
19000,906271
19010,906394
19020,906394
19030,906428
19040,906373
19050,906527
19060,906453
19070,906686
19080,906823
19090,907019
19100,906731
19110,906473
19120,906685
19130,907011
19140,907192
19150,907143
19160,907319
19170,907223
19180,906860
19190,906692
19200,906669
19210,906568
19220,906268
19230,906125
19240,906394
19250,906560
19260,906667
19270,906753
19280,906724
19290,906735
19300,906955
19310,907010
19320,907063
19330,906812
19340,906898
19350,906686
19360,906700
19370,906745
19380,906935
19390,906833
19400,906692
19410,906721
19420,906742
19430,906487
19440,906511
19450,906712
19460,906914
19470,906961
19480,906880
19490,907009
19500,906800
19510,906611
19520,906446
19530,906496
19540,906602
19550,906731
19560,906907
19570,907098
19580,906820
19590,906505
19600,906187
19610,906169
19620,906283
19630,906114
19640,906489
19650,906911
19660,907226
19670,907194
19680,906893
19690,906846
19700,906878
19710,906996
19720,907176
19730,907003
19740,906919
19750,907026
19760,907075
19770,907128
19780,906935
19790,906899
19800,906734
19810,906598
